Timestep,Bus,P(kW),Q(kvar)
2012-07-07 20:00:00,bus_003,0.0414,0.0201
2012-07-07 20:00:00,bus_004,-0.0485,-0.0
2012-07-07 20:30:00,bus_001,0.078,0.0378
2012-07-07 20:30:00,bus_002,0.1895,0.0918
2012-07-07 20:30:00,bus_003,0.0304,0.0147
2012-07-07 20:30:00,bus_004,-0.0167,-0.0
2012-07-07 21:00:00,bus_001,0.0825,0.0399
2012-07-07 21:00:00,bus_002,0.2264,0.1096
2012-07-07 21:00:00,bus_003,0.0506,0.0245
2012-07-07 21:00:00,bus_004,-0.0225,-0.0
2012-07-07 21:30:00,bus_001,0.096,0.0465
2012-07-07 21:30:00,bus_002,0.2491,0.1206
2012-07-07 21:30:00,bus_003,0.0239,0.0116
2012-07-07 21:30:00,bus_004,-0.0482,-0.0
2012-07-07 22:00:00,bus_001,0.0787,0.0381
2012-07-07 22:00:00,bus_002,0.2299,0.1113
2012-07-07 22:00:00,bus_003,0.0589,0.0285
2012-07-07 22:00:00,bus_004,-0.0476,-0.0
2012-07-07 22:30:00,bus_001,0.0832,0.0403
2012-07-07 22:30:00,bus_002,0.0951,0.0461
2012-07-07 22:30:00,bus_003,0.0249,0.012
2012-07-07 22:30:00,bus_004,-0.0317,-0.0
2012-07-07 23:00:00,bus_001,0.0975,0.0472
2012-07-07 23:00:00,bus_002,0.1164,0.0564
2012-07-07 23:00:00,bus_003,0.0598,0.029
2012-07-07 23:00:00,bus_004,0.0002,0.0
2012-07-07 23:30:00,bus_001,0.0832,0.0403
2012-07-07 23:30:00,bus_002,0.1135,0.055
2012-07-07 23:30:00,bus_003,0.0313,0.0152
2012-07-07 23:30:00,bus_004,-0.0488,-0.0
2012-07-08 00:00:00,bus_001,0.0802,0.0388
2012-07-08 00:00:00,bus_002,0.0979,0.0474
2012-07-08 00:00:00,bus_003,0.0534,0.0259
2012-07-08 00:00:00,bus_004,-0.0065,-0.0
2012-07-08 00:30:00,bus_001,0.0967,0.0468
2012-07-08 00:30:00,bus_002,0.0908,0.044
2012-07-08 00:30:00,bus_003,0.0331,0.0161
2012-07-08 00:30:00,bus_004,-0.0335,-0.0
2012-07-08 01:00:00,bus_001,0.1162,0.0563
2012-07-08 01:00:00,bus_002,0.0944,0.0457
2012-07-08 01:00:00,bus_003,0.0405,0.0196
2012-07-08 01:00:00,bus_004,0.0001,0.0
2012-07-08 01:30:00,bus_001,0.1064,0.0516
2012-07-08 01:30:00,bus_002,0.0859,0.0416
2012-07-08 01:30:00,bus_003,0.0331,0.0161
2012-07-08 01:30:00,bus_004,-0.0305,-0.0
2012-07-08 02:00:00,bus_001,0.1094,0.053
2012-07-08 02:00:00,bus_002,0.0603,0.0292
2012-07-08 02:00:00,bus_003,0.0368,0.0178
2012-07-08 02:00:00,bus_004,0.0,0.0
2012-07-08 02:30:00,bus_001,0.1012,0.049
2012-07-08 02:30:00,bus_002,0.027,0.0131
2012-07-08 02:30:00,bus_003,0.035,0.0169
2012-07-08 02:30:00,bus_004,-0.0073,-0.0
2012-07-08 03:00:00,bus_001,0.0937,0.0454
2012-07-08 03:00:00,bus_002,0.0419,0.0203
2012-07-08 03:00:00,bus_003,0.0304,0.0147
2012-07-08 03:00:00,bus_004,0.0,0.0
2012-07-08 03:30:00,bus_001,0.1049,0.0508
2012-07-08 03:30:00,bus_002,0.049,0.0237
2012-07-08 03:30:00,bus_003,0.0322,0.0156
2012-07-08 03:30:00,bus_004,-0.0045,-0.0
2012-07-08 04:00:00,bus_001,0.1019,0.0494
2012-07-08 04:00:00,bus_002,0.0461,0.0223
2012-07-08 04:00:00,bus_003,0.0295,0.0143
2012-07-08 04:00:00,bus_004,-0.0088,-0.0
2012-07-08 04:30:00,bus_001,0.0937,0.0454
2012-07-08 04:30:00,bus_002,0.0163,0.0079
2012-07-08 04:30:00,bus_003,0.0295,0.0143
2012-07-08 04:30:00,bus_004,-0.004,-0.0
2012-07-08 05:00:00,bus_001,0.1027,0.0497
2012-07-08 05:00:00,bus_002,0.0213,0.0103
2012-07-08 05:00:00,bus_003,0.0331,0.0161
2012-07-08 05:00:00,bus_004,0.0,0.0
2012-07-08 05:30:00,bus_001,0.1027,0.0497
2012-07-08 05:30:00,bus_002,0.0518,0.0251
2012-07-08 05:30:00,bus_003,0.0424,0.0205
2012-07-08 05:30:00,bus_004,-0.0036,-0.0
2012-07-08 06:00:00,bus_001,0.0915,0.0443
2012-07-08 06:00:00,bus_002,0.0766,0.0371
2012-07-08 06:00:00,bus_003,0.0543,0.0263
2012-07-08 06:00:00,bus_004,-0.0099,-0.0
