Timestep,Name,P(kW),Q(kvar)
2012-07-07 20:30:00,Generation,0.0,0.0
2012-07-07 20:30:00,Delivered,0.2978,0.1442
2012-07-07 20:30:00,Total Losses,0.0,0.0
2012-07-07 21:00:00,Load,0.3594,0.1741
2012-07-07 21:00:00,Generation,0.0,0.0
2012-07-07 21:00:00,Delivered,0.3595,0.1741
2012-07-07 21:00:00,Total Losses,0.0,0.0
2012-07-07 21:30:00,Load,0.369,0.1787
2012-07-07 21:30:00,Generation,0.0,0.0
2012-07-07 21:30:00,Delivered,0.369,0.1787
2012-07-07 21:30:00,Total Losses,0.0,0.0
2012-07-07 22:00:00,Load,0.3675,0.178
2012-07-07 22:00:00,Generation,0.0,0.0
2012-07-07 22:00:00,Delivered,0.3676,0.178
2012-07-07 22:00:00,Total Losses,0.0,0.0
2012-07-07 22:30:00,Load,0.2032,0.0984
2012-07-07 22:30:00,Generation,0.0,0.0
2012-07-07 22:30:00,Delivered,0.2032,0.0984
2012-07-07 22:30:00,Total Losses,0.0,-0.0
2012-07-07 23:00:00,Load,0.2737,0.1325
2012-07-07 23:00:00,Generation,0.0,0.0
2012-07-07 23:00:00,Delivered,0.2737,0.1325
2012-07-07 23:00:00,Total Losses,0.0,0.0
2012-07-07 23:30:00,Load,0.2281,0.1104
2012-07-07 23:30:00,Generation,0.0,0.0
2012-07-07 23:30:00,Delivered,0.2281,0.1104
2012-07-07 23:30:00,Total Losses,0.0,0.0
2012-07-08 00:00:00,Load,0.2315,0.1121
2012-07-08 00:00:00,Generation,0.0,0.0
2012-07-08 00:00:00,Delivered,0.2316,0.1121
2012-07-08 00:00:00,Total Losses,0.0,0.0
2012-07-08 00:30:00,Load,0.2207,0.1069
2012-07-08 00:30:00,Generation,0.0,0.0
2012-07-08 00:30:00,Delivered,0.2207,0.1069
2012-07-08 00:30:00,Total Losses,0.0,-0.0
2012-07-08 01:00:00,Load,0.2511,0.1216
2012-07-08 01:00:00,Generation,0.0,0.0
2012-07-08 01:00:00,Delivered,0.2511,0.1216
2012-07-08 01:00:00,Total Losses,0.0,0.0
2012-07-08 01:30:00,Load,0.2255,0.1092
2012-07-08 01:30:00,Generation,0.0,0.0
2012-07-08 01:30:00,Delivered,0.2255,0.1092
2012-07-08 01:30:00,Total Losses,0.0,-0.0
2012-07-08 02:00:00,Load,0.2066,0.1001
2012-07-08 02:00:00,Generation,0.0,0.0
2012-07-08 02:00:00,Delivered,0.2066,0.1
2012-07-08 02:00:00,Total Losses,0.0,-0.0
2012-07-08 02:30:00,Load,0.1632,0.079
2012-07-08 02:30:00,Generation,0.0,0.0
2012-07-08 02:30:00,Delivered,0.1632,0.079
2012-07-08 02:30:00,Total Losses,0.0,-0.0
2012-07-08 03:00:00,Load,0.166,0.0804
2012-07-08 03:00:00,Generation,0.0,0.0
2012-07-08 03:00:00,Delivered,0.166,0.0804
2012-07-08 03:00:00,Total Losses,0.0,-0.0
2012-07-08 03:30:00,Load,0.1861,0.0901
2012-07-08 03:30:00,Generation,0.0,0.0
2012-07-08 03:30:00,Delivered,0.1861,0.0901
2012-07-08 03:30:00,Total Losses,0.0,-0.0
2012-07-08 04:00:00,Load,0.1775,0.086
2012-07-08 04:00:00,Generation,0.0,0.0
2012-07-08 04:00:00,Delivered,0.1775,0.086
2012-07-08 04:00:00,Total Losses,0.0,-0.0
2012-07-08 04:30:00,Load,0.1395,0.0676
2012-07-08 04:30:00,Generation,0.0,0.0
2012-07-08 04:30:00,Delivered,0.1395,0.0675
2012-07-08 04:30:00,Total Losses,0.0,-0.0
2012-07-08 05:00:00,Load,0.1571,0.0761
2012-07-08 05:00:00,Generation,0.0,0.0
2012-07-08 05:00:00,Delivered,0.1571,0.0761
2012-07-08 05:00:00,Total Losses,0.0,-0.0
2012-07-08 05:30:00,Load,0.1969,0.0953
2012-07-08 05:30:00,Generation,0.0,0.0
2012-07-08 05:30:00,Delivered,0.1969,0.0953
2012-07-08 05:30:00,Total Losses,0.0,-0.0
2012-07-08 06:00:00,Load,0.2224,0.1077
2012-07-08 06:00:00,Generation,0.0,0.0
2012-07-08 06:00:00,Delivered,0.2224,0.1077
2012-07-08 06:00:00,Total Losses,0.0,0.0
