Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 19:30:00,line_002_003,0.5674,0.025,0.0165,0.0
2012-07-07 19:30:00,line_003_004,0.1575,-0.01,-0.0004,0.0
2012-07-07 20:00:00,line_001_002,4.2139,0.2283,0.1183,0.0
2012-07-07 20:00:00,line_002_003,0.6544,0.0246,0.0197,0.0
2012-07-07 20:00:00,line_003_004,0.2655,-0.0169,-0.0004,0.0
2012-07-07 20:30:00,line_001_002,4.3587,0.2546,0.1061,0.0
2012-07-07 20:30:00,line_002_003,1.0558,0.0652,0.0143,0.0
2012-07-07 20:30:00,line_003_004,0.5476,0.0348,-0.0004,0.0
2012-07-07 21:00:00,line_001_002,4.7686,0.2593,0.1338,0.0
2012-07-07 21:00:00,line_002_003,0.8112,0.0329,0.0241,0.0
2012-07-07 21:00:00,line_003_004,0.2792,-0.0177,-0.0004,0.0
2012-07-07 21:30:00,line_001_002,4.756,0.2691,0.1318,0.0
2012-07-07 21:30:00,line_002_003,0.3981,0.02,0.0112,0.0
2012-07-07 21:30:00,line_003_004,0.0627,-0.004,-0.0004,0.0
2012-07-07 22:00:00,line_001_002,4.8266,0.2342,0.1395,0.0
2012-07-07 22:00:00,line_002_003,0.8528,0.0043,0.0281,0.0
2012-07-07 22:00:00,line_003_004,0.8607,-0.0547,-0.0004,0.0
2012-07-07 22:30:00,line_001_002,3.2669,0.198,0.0577,0.0
2012-07-07 22:30:00,line_002_003,1.6348,0.1029,0.0117,0.0
2012-07-07 22:30:00,line_003_004,1.2294,0.0781,-0.0004,0.0
2012-07-07 23:00:00,line_001_002,2.9207,0.1372,0.0849,0.0
2012-07-07 23:00:00,line_002_003,0.9008,0.0208,0.0286,0.0
2012-07-07 23:00:00,line_003_004,0.6145,-0.039,-0.0004,0.0
2012-07-07 23:30:00,line_001_002,2.7704,0.161,0.0698,0.0
2012-07-07 23:30:00,line_002_003,0.787,0.0474,0.0148,0.0
2012-07-07 23:30:00,line_003_004,0.2542,0.0161,-0.0004,0.0
2012-07-08 00:00:00,line_001_002,2.622,0.1462,0.0729,0.0
2012-07-08 00:00:00,line_002_003,0.9086,0.0483,0.0255,0.0
2012-07-08 00:00:00,line_003_004,0.081,-0.0051,-0.0004,0.0
2012-07-08 00:30:00,line_001_002,2.3669,0.1375,0.0597,0.0
2012-07-08 00:30:00,line_002_003,0.7797,0.0467,0.0157,0.0
2012-07-08 00:30:00,line_003_004,0.2133,0.0135,-0.0004,0.0
2012-07-08 01:00:00,line_001_002,2.2776,0.1159,0.0649,0.0
2012-07-08 01:00:00,line_002_003,0.631,0.0215,0.0192,0.0
2012-07-08 01:00:00,line_003_004,0.2991,-0.019,-0.0004,0.0
2012-07-08 01:30:00,line_001_002,2.1095,0.121,0.0573,0.0
2012-07-08 01:30:00,line_002_003,0.6072,0.0352,0.0157,0.0
2012-07-08 01:30:00,line_003_004,0.0323,0.002,-0.0004,0.0
2012-07-08 02:00:00,line_001_002,1.6601,0.0887,0.0466,0.0
2012-07-08 02:00:00,line_002_003,0.6054,0.0283,0.0174,0.0
2012-07-08 02:00:00,line_003_004,0.1339,-0.0085,-0.0004,0.0
2012-07-08 02:30:00,line_001_002,1.3069,0.0771,0.0296,0.0
2012-07-08 02:30:00,line_002_003,0.8364,0.0502,0.0166,0.0
2012-07-08 02:30:00,line_003_004,0.239,0.0152,-0.0004,0.0
2012-07-08 03:00:00,line_001_002,1.3436,0.0778,0.0346,0.0
2012-07-08 03:00:00,line_002_003,0.6115,0.0359,0.0143,0.0
2012-07-08 03:00:00,line_003_004,0.0875,0.0055,-0.0004,0.0
2012-07-08 03:30:00,line_001_002,1.3752,0.0713,0.0389,0.0
2012-07-08 03:30:00,line_002_003,0.5196,0.0223,0.0152,0.0
2012-07-08 03:30:00,line_003_004,0.1559,-0.0099,-0.0004,0.0
2012-07-08 04:00:00,line_001_002,1.2764,0.0655,0.0362,0.0
2012-07-08 04:00:00,line_002_003,0.4707,0.0193,0.0139,0.0
2012-07-08 04:00:00,line_003_004,0.1596,-0.0101,-0.0004,0.0
2012-07-08 04:30:00,line_001_002,1.0718,0.0641,0.0218,0.0
2012-07-08 04:30:00,line_002_003,0.7879,0.0478,0.0139,0.0
2012-07-08 04:30:00,line_003_004,0.2883,0.0183,-0.0004,0.0
2012-07-08 05:00:00,line_001_002,1.0562,0.0616,0.026,0.0
2012-07-08 05:00:00,line_002_003,0.6841,0.0403,0.0157,0.0
2012-07-08 05:00:00,line_003_004,0.1132,0.0072,-0.0004,0.0
2012-07-08 05:30:00,line_001_002,1.6218,0.0891,0.0452,0.0
2012-07-08 05:30:00,line_002_003,0.7155,0.0373,0.0201,0.0
2012-07-08 05:30:00,line_003_004,0.0805,-0.0051,-0.0004,0.0
2012-07-08 06:00:00,line_001_002,2.2637,0.1254,0.063,0.0
2012-07-08 06:00:00,line_002_003,0.9228,0.0487,0.0259,0.0
2012-07-08 06:00:00,line_003_004,0.0883,-0.0056,-0.0004,0.0
