Timestep,Name,P(kW),Q(kvar)
2012-07-07 20:30:00,Total Losses,0.0,0.0
2012-07-07 21:00:00,Load,0.3595,0.1741
2012-07-07 21:00:00,Generation,0.0,0.0
2012-07-07 21:00:00,Demand,0.2778,0.1752
2012-07-07 21:00:00,Total Losses,0.0,0.0
2012-07-07 21:30:00,Load,0.369,0.1787
2012-07-07 21:30:00,Generation,0.0,0.0
2012-07-07 21:30:00,Demand,0.2577,0.1798
2012-07-07 21:30:00,Total Losses,0.0,0.0
2012-07-07 22:00:00,Load,0.3675,0.178
2012-07-07 22:00:00,Generation,0.0,0.0
2012-07-07 22:00:00,Demand,0.2644,0.1792
2012-07-07 22:00:00,Total Losses,0.0,0.0
2012-07-07 22:30:00,Load,0.2032,0.0984
2012-07-07 22:30:00,Generation,0.0,0.0
2012-07-07 22:30:00,Demand,0.0973,0.0995
2012-07-07 22:30:00,Total Losses,0.0,-0.0
2012-07-07 23:00:00,Load,0.2737,0.1325
2012-07-07 23:00:00,Generation,0.0,0.0
2012-07-07 23:00:00,Demand,0.2346,0.1337
2012-07-07 23:00:00,Total Losses,0.0,0.0
2012-07-07 23:30:00,Load,0.2281,0.1105
2012-07-07 23:30:00,Generation,0.0,0.0
2012-07-07 23:30:00,Demand,0.1341,0.1116
2012-07-07 23:30:00,Total Losses,0.0,-0.0
2012-07-08 00:00:00,Load,0.2315,0.1121
2012-07-08 00:00:00,Generation,0.0,0.0
2012-07-08 00:00:00,Demand,0.1778,0.1133
2012-07-08 00:00:00,Total Losses,0.0,0.0
2012-07-08 00:30:00,Load,0.2207,0.1069
2012-07-08 00:30:00,Generation,0.0,0.0
2012-07-08 00:30:00,Demand,0.1494,0.108
2012-07-08 00:30:00,Total Losses,0.0,-0.0
2012-07-08 01:00:00,Load,0.2511,0.1216
2012-07-08 01:00:00,Generation,0.0,0.0
2012-07-08 01:00:00,Demand,0.1912,0.1228
2012-07-08 01:00:00,Total Losses,0.0,-0.0
2012-07-08 01:30:00,Load,0.2255,0.1092
2012-07-08 01:30:00,Generation,0.0,0.0
2012-07-08 01:30:00,Demand,0.1489,0.1103
2012-07-08 01:30:00,Total Losses,0.0,-0.0
2012-07-08 02:00:00,Load,0.2066,0.1001
2012-07-08 02:00:00,Generation,0.0,0.0
2012-07-08 02:00:00,Demand,0.1469,0.1012
2012-07-08 02:00:00,Total Losses,0.0,-0.0
2012-07-08 02:30:00,Load,0.1632,0.079
2012-07-08 02:30:00,Generation,0.0,0.0
2012-07-08 02:30:00,Demand,0.1043,0.0802
2012-07-08 02:30:00,Total Losses,0.0,-0.0
2012-07-08 03:00:00,Load,0.166,0.0804
2012-07-08 03:00:00,Generation,0.0,0.0
2012-07-08 03:00:00,Demand,0.1241,0.0815
2012-07-08 03:00:00,Total Losses,0.0,-0.0
2012-07-08 03:30:00,Load,0.1861,0.0902
2012-07-08 03:30:00,Generation,0.0,0.0
2012-07-08 03:30:00,Demand,0.1364,0.0913
2012-07-08 03:30:00,Total Losses,0.0,-0.0
2012-07-08 04:00:00,Load,0.1775,0.086
2012-07-08 04:00:00,Generation,0.0,0.0
2012-07-08 04:00:00,Demand,0.1229,0.0871
2012-07-08 04:00:00,Total Losses,0.0,-0.0
2012-07-08 04:30:00,Load,0.1395,0.0676
2012-07-08 04:30:00,Generation,0.0,0.0
2012-07-08 04:30:00,Demand,0.0902,0.0687
2012-07-08 04:30:00,Total Losses,0.0,-0.0
2012-07-08 05:00:00,Load,0.1571,0.0761
2012-07-08 05:00:00,Generation,0.0,0.0
2012-07-08 05:00:00,Demand,0.1209,0.0773
2012-07-08 05:00:00,Total Losses,0.0,-0.0
2012-07-08 05:30:00,Load,0.1969,0.0953
2012-07-08 05:30:00,Generation,0.0,0.0
2012-07-08 05:30:00,Demand,0.1484,0.0965
2012-07-08 05:30:00,Total Losses,0.0,-0.0
2012-07-08 06:00:00,Load,0.2224,0.1077
2012-07-08 06:00:00,Generation,0.0,0.0
2012-07-08 06:00:00,Demand,0.1629,0.1089
2012-07-08 06:00:00,Total Losses,0.0,-0.0
