Timestep,Bus,Voltage
2012-07-07 23:30:00,bus_002,127.017
2012-07-07 23:30:00,bus_003,127.0171
2012-07-07 23:30:00,bus_004,126.9979
2012-07-08 00:00:00,bus_001,127.017
2012-07-08 00:00:00,bus_002,127.017
2012-07-08 00:00:00,bus_003,127.0171
2012-07-08 00:00:00,bus_004,126.9978
2012-07-08 00:30:00,bus_001,127.017
2012-07-08 00:30:00,bus_002,127.017
2012-07-08 00:30:00,bus_003,127.0171
2012-07-08 00:30:00,bus_004,127.0007
2012-07-08 01:00:00,bus_001,127.017
2012-07-08 01:00:00,bus_002,127.017
2012-07-08 01:00:00,bus_003,127.0171
2012-07-08 01:00:00,bus_004,127.0004
2012-07-08 01:30:00,bus_001,127.017
2012-07-08 01:30:00,bus_002,127.017
2012-07-08 01:30:00,bus_003,127.0171
2012-07-08 01:30:00,bus_004,127.0017
2012-07-08 02:00:00,bus_001,127.017
2012-07-08 02:00:00,bus_002,127.017
2012-07-08 02:00:00,bus_003,127.0171
2012-07-08 02:00:00,bus_004,127.0049
2012-07-08 02:30:00,bus_001,127.017
2012-07-08 02:30:00,bus_002,127.017
2012-07-08 02:30:00,bus_003,127.0171
2012-07-08 02:30:00,bus_004,127.0086
2012-07-08 03:00:00,bus_001,127.017
2012-07-08 03:00:00,bus_002,127.017
2012-07-08 03:00:00,bus_003,127.0171
2012-07-08 03:00:00,bus_004,127.0076
2012-07-08 03:30:00,bus_001,127.017
2012-07-08 03:30:00,bus_002,127.017
2012-07-08 03:30:00,bus_003,127.0171
2012-07-08 03:30:00,bus_004,127.007
2012-07-08 04:00:00,bus_001,127.017
2012-07-08 04:00:00,bus_002,127.017
2012-07-08 04:00:00,bus_003,127.0171
2012-07-08 04:00:00,bus_004,127.0077
2012-07-08 04:30:00,bus_001,127.0171
2012-07-08 04:30:00,bus_002,127.017
2012-07-08 04:30:00,bus_003,127.0171
2012-07-08 04:30:00,bus_004,127.0105
2012-07-08 05:00:00,bus_001,127.017
2012-07-08 05:00:00,bus_002,127.017
2012-07-08 05:00:00,bus_003,127.0171
2012-07-08 05:00:00,bus_004,127.0098
2012-07-08 05:30:00,bus_001,127.017
2012-07-08 05:30:00,bus_002,127.017
2012-07-08 05:30:00,bus_003,127.0171
2012-07-08 05:30:00,bus_004,127.0052
2012-07-08 06:00:00,bus_001,127.017
2012-07-08 06:00:00,bus_002,127.017
2012-07-08 06:00:00,bus_003,127.0171
2012-07-08 06:00:00,bus_004,127.0005
