Timestep,Bus,P(kW),Q(kvar)
2012-07-07 10:00:00,bus_004,0.1896,0.0
2012-07-07 10:30:00,bus_001,0.096,0.0465
2012-07-07 10:30:00,bus_002,-0.6691,0.0227
2012-07-07 10:30:00,bus_003,0.0184,0.0089
2012-07-07 10:30:00,bus_004,0.2219,0.0
2012-07-07 11:00:00,bus_001,0.0757,0.0367
2012-07-07 11:00:00,bus_002,-0.7476,0.0044
2012-07-07 11:00:00,bus_003,0.0414,0.0201
2012-07-07 11:00:00,bus_004,0.2522,0.0
2012-07-07 11:30:00,bus_001,0.0622,0.0301
2012-07-07 11:30:00,bus_002,-0.7507,0.0148
2012-07-07 11:30:00,bus_003,0.0175,0.0085
2012-07-07 11:30:00,bus_004,0.2684,0.0
2012-07-07 12:00:00,bus_001,0.0952,0.0461
2012-07-07 12:00:00,bus_002,-0.6353,0.0725
2012-07-07 12:00:00,bus_003,0.0424,0.0205
2012-07-07 12:00:00,bus_004,0.1991,0.0
2012-07-07 12:30:00,bus_001,0.0885,0.0428
2012-07-07 12:30:00,bus_002,-0.5696,0.1034
2012-07-07 12:30:00,bus_003,0.0157,0.0076
2012-07-07 12:30:00,bus_004,0.1862,0.0
2012-07-07 13:00:00,bus_001,0.1124,0.0545
2012-07-07 13:00:00,bus_002,-0.6338,0.0612
2012-07-07 13:00:00,bus_003,0.0414,0.0201
2012-07-07 13:00:00,bus_004,0.192,0.0
2012-07-07 13:30:00,bus_001,0.1267,0.0614
2012-07-07 13:30:00,bus_002,-0.4518,0.1244
2012-07-07 13:30:00,bus_003,0.0166,0.008
2012-07-07 13:30:00,bus_004,0.1234,0.0
2012-07-07 14:00:00,bus_001,0.1379,0.0668
2012-07-07 14:00:00,bus_002,-0.5028,0.0746
2012-07-07 14:00:00,bus_003,0.0433,0.021
2012-07-07 14:00:00,bus_004,0.1287,0.0
2012-07-07 14:30:00,bus_001,0.1289,0.0624
2012-07-07 14:30:00,bus_002,-0.3738,0.1017
2012-07-07 14:30:00,bus_003,0.0166,0.008
2012-07-07 14:30:00,bus_004,0.0913,0.0
2012-07-07 15:00:00,bus_001,0.1057,0.0512
2012-07-07 15:00:00,bus_002,-0.3543,0.0674
2012-07-07 15:00:00,bus_003,0.0433,0.021
2012-07-07 15:00:00,bus_004,0.0821,0.0
2012-07-07 15:30:00,bus_001,0.1417,0.0686
2012-07-07 15:30:00,bus_002,-0.2574,0.0608
2012-07-07 15:30:00,bus_003,0.0157,0.0076
2012-07-07 15:30:00,bus_004,0.04,0.0
2012-07-07 16:00:00,bus_001,0.1207,0.0585
2012-07-07 16:00:00,bus_002,-0.0649,0.0952
2012-07-07 16:00:00,bus_003,0.0424,0.0205
2012-07-07 16:00:00,bus_004,-0.0392,-0.0
2012-07-07 16:30:00,bus_001,0.1267,0.0614
2012-07-07 16:30:00,bus_002,0.0423,0.0887
2012-07-07 16:30:00,bus_003,0.0175,0.0085
2012-07-07 16:30:00,bus_004,-0.0746,-0.0
2012-07-07 17:00:00,bus_001,0.1702,0.0824
2012-07-07 17:00:00,bus_002,0.1765,0.1069
2012-07-07 17:00:00,bus_003,0.0405,0.0196
2012-07-07 17:00:00,bus_004,-0.1549,-0.0
2012-07-07 17:30:00,bus_001,0.1312,0.0635
2012-07-07 17:30:00,bus_002,0.2519,0.1237
2012-07-07 17:30:00,bus_003,0.0221,0.0107
2012-07-07 17:30:00,bus_004,-0.162,-0.0
2012-07-07 18:00:00,bus_001,0.1042,0.0505
2012-07-07 18:00:00,bus_002,0.1703,0.0825
2012-07-07 18:00:00,bus_003,0.0331,0.0161
2012-07-07 18:00:00,bus_004,-0.1231,-0.0
2012-07-07 18:30:00,bus_001,0.0967,0.0468
2012-07-07 18:30:00,bus_002,0.276,0.1337
2012-07-07 18:30:00,bus_003,0.0304,0.0147
2012-07-07 18:30:00,bus_004,-0.1612,-0.0
2012-07-07 19:00:00,bus_001,0.0765,0.037
2012-07-07 19:00:00,bus_002,0.1944,0.0942
2012-07-07 19:00:00,bus_003,0.0285,0.0138
2012-07-07 19:00:00,bus_004,-0.1198,-0.0
2012-07-07 19:30:00,bus_001,0.0862,0.0418
2012-07-07 19:30:00,bus_002,0.2136,0.1034
2012-07-07 19:30:00,bus_003,0.035,0.0169
2012-07-07 19:30:00,bus_004,-0.1339,-0.0
2012-07-07 20:00:00,bus_001,0.096,0.0465
2012-07-07 20:00:00,bus_002,0.2037,0.0986
2012-07-07 20:00:00,bus_003,0.0414,0.0201
2012-07-07 20:00:00,bus_004,-0.1364,-0.0
2012-07-07 20:30:00,bus_001,0.078,0.0378
2012-07-07 20:30:00,bus_002,0.1895,0.0918
2012-07-07 20:30:00,bus_003,0.0304,0.0147
2012-07-07 20:30:00,bus_004,-0.1191,-0.0
2012-07-07 21:00:00,bus_001,0.0825,0.0399
2012-07-07 21:00:00,bus_002,0.2264,0.1096
2012-07-07 21:00:00,bus_003,0.0506,0.0245
2012-07-07 21:00:00,bus_004,-0.1438,-0.0
2012-07-07 21:30:00,bus_001,0.096,0.0465
2012-07-07 21:30:00,bus_002,0.2491,0.1206
2012-07-07 21:30:00,bus_003,0.0239,0.0116
2012-07-07 21:30:00,bus_004,-0.1476,-0.0
2012-07-07 22:00:00,bus_001,0.0787,0.0381
2012-07-07 22:00:00,bus_002,0.2299,0.1113
2012-07-07 22:00:00,bus_003,0.0589,0.0285
2012-07-07 22:00:00,bus_004,-0.147,-0.0
2012-07-07 22:30:00,bus_001,0.0832,0.0403
2012-07-07 22:30:00,bus_002,0.0951,0.0461
2012-07-07 22:30:00,bus_003,0.0249,0.012
2012-07-07 22:30:00,bus_004,-0.0813,-0.0
2012-07-07 23:00:00,bus_001,0.0975,0.0472
2012-07-07 23:00:00,bus_002,0.1164,0.0564
2012-07-07 23:00:00,bus_003,0.0598,0.029
2012-07-07 23:00:00,bus_004,-0.1095,-0.0
2012-07-07 23:30:00,bus_001,0.0832,0.0403
2012-07-07 23:30:00,bus_002,0.1135,0.055
2012-07-07 23:30:00,bus_003,0.0313,0.0152
2012-07-07 23:30:00,bus_004,-0.0912,-0.0
2012-07-08 00:00:00,bus_001,0.0802,0.0388
2012-07-08 00:00:00,bus_002,0.0979,0.0474
2012-07-08 00:00:00,bus_003,0.0534,0.0259
2012-07-08 00:00:00,bus_004,-0.0926,-0.0
2012-07-08 00:30:00,bus_001,0.0967,0.0468
2012-07-08 00:30:00,bus_002,0.0908,0.044
2012-07-08 00:30:00,bus_003,0.0331,0.0161
2012-07-08 00:30:00,bus_004,-0.0883,-0.0
2012-07-08 01:00:00,bus_001,0.1162,0.0563
2012-07-08 01:00:00,bus_002,0.0944,0.0457
2012-07-08 01:00:00,bus_003,0.0405,0.0196
2012-07-08 01:00:00,bus_004,-0.1004,-0.0
2012-07-08 01:30:00,bus_001,0.1064,0.0516
2012-07-08 01:30:00,bus_002,0.0859,0.0416
2012-07-08 01:30:00,bus_003,0.0331,0.0161
2012-07-08 01:30:00,bus_004,-0.0902,-0.0
2012-07-08 02:00:00,bus_001,0.1094,0.053
2012-07-08 02:00:00,bus_002,0.0603,0.0292
2012-07-08 02:00:00,bus_003,0.0368,0.0178
2012-07-08 02:00:00,bus_004,-0.0826,-0.0
2012-07-08 02:30:00,bus_001,0.1012,0.049
2012-07-08 02:30:00,bus_002,0.027,0.0131
2012-07-08 02:30:00,bus_003,0.035,0.0169
2012-07-08 02:30:00,bus_004,-0.0653,-0.0
2012-07-08 03:00:00,bus_001,0.0937,0.0454
2012-07-08 03:00:00,bus_002,0.0419,0.0203
2012-07-08 03:00:00,bus_003,0.0304,0.0147
2012-07-08 03:00:00,bus_004,-0.0664,-0.0
2012-07-08 03:30:00,bus_001,0.1049,0.0508
2012-07-08 03:30:00,bus_002,0.049,0.0237
2012-07-08 03:30:00,bus_003,0.0322,0.0156
2012-07-08 03:30:00,bus_004,-0.0744,-0.0
2012-07-08 04:00:00,bus_001,0.1019,0.0494
2012-07-08 04:00:00,bus_002,0.0461,0.0223
2012-07-08 04:00:00,bus_003,0.0295,0.0143
2012-07-08 04:00:00,bus_004,-0.071,-0.0
2012-07-08 04:30:00,bus_001,0.0937,0.0454
2012-07-08 04:30:00,bus_002,0.0163,0.0079
2012-07-08 04:30:00,bus_003,0.0295,0.0143
2012-07-08 04:30:00,bus_004,-0.0558,-0.0
2012-07-08 05:00:00,bus_001,0.1027,0.0497
2012-07-08 05:00:00,bus_002,0.0213,0.0103
2012-07-08 05:00:00,bus_003,0.0331,0.0161
2012-07-08 05:00:00,bus_004,-0.0628,-0.0
2012-07-08 05:30:00,bus_001,0.1027,0.0497
2012-07-08 05:30:00,bus_002,0.0518,0.0251
2012-07-08 05:30:00,bus_003,0.0424,0.0205
2012-07-08 05:30:00,bus_004,-0.0788,-0.0
2012-07-08 06:00:00,bus_001,0.0915,0.0443
2012-07-08 06:00:00,bus_002,0.0766,0.0371
2012-07-08 06:00:00,bus_003,0.0543,0.0263
2012-07-08 06:00:00,bus_004,-0.089,-0.0
