id,stdorToU,datetime,Ppower
MAC004022,Std,2012-07-08 03:30:00.0000000,0.02847955902618282
MAC004022,Std,2012-07-08 04:00:00.0000000,0.025264124942581533
MAC004022,Std,2012-07-08 04:30:00.0000000,0.00964630225080386
MAC004022,Std,2012-07-08 05:00:00.0000000,0.026182820395039046
MAC004022,Std,2012-07-08 05:30:00.0000000,0.02847955902618282
MAC004022,Std,2012-07-08 06:00:00.0000000,0.00964630225080386
MAC004022,Std,2012-07-08 06:30:00.0000000,0.02296738631143776
MAC004022,Std,2012-07-08 07:00:00.0000000,0.030776297657326597
MAC004022,Std,2012-07-08 07:30:00.0000000,0.00964630225080386
MAC004022,Std,2012-07-08 08:00:00.0000000,0.02067064768029398
MAC004022,Std,2012-07-08 08:30:00.0000000,0.033073036288470366
MAC004022,Std,2012-07-08 09:00:00.0000000,0.00964630225080386
MAC004022,Std,2012-07-08 09:30:00.0000000,0.017914561322921452
MAC004022,Std,2012-07-08 10:00:00.0000000,0.03491042719338539
MAC004022,Std,2012-07-08 10:30:00.0000000,0.010105649977032612
MAC004022,Std,2012-07-08 11:00:00.0000000,0.016077170418006433
MAC004022,Std,2012-07-08 11:30:00.0000000,0.03491042719338539
MAC004022,Std,2012-07-08 12:00:00.0000000,0.01148369315571888
MAC004022,Std,2012-07-08 12:30:00.0000000,0.014699127239320165
MAC004022,Std,2012-07-08 13:00:00.0000000,0.03491042719338539
MAC004022,Std,2012-07-08 13:30:00.0000000,0.013780431786862654
MAC004022,Std,2012-07-08 14:00:00.0000000,0.011943040881947633
MAC004022,Std,2012-07-08 14:30:00.0000000,0.036288470372071654
MAC004022,Std,2012-07-08 15:00:00.0000000,0.01699586587046394
MAC004022,Std,2012-07-08 15:30:00.0000000,0.00964630225080386
MAC004022,Std,2012-07-08 16:00:00.0000000,0.035829122645842905
MAC004022,Std,2012-07-08 16:30:00.0000000,0.017914561322921452
MAC004022,Std,2012-07-08 17:00:00.0000000,0.00964630225080386
MAC004022,Std,2012-07-08 17:30:00.0000000,0.035829122645842905
MAC004022,Std,2012-07-08 18:00:00.0000000,0.02067064768029398
MAC004022,Std,2012-07-08 18:30:00.0000000,0.00964630225080386
MAC004022,Std,2012-07-08 19:00:00.0000000,0.032613688562241616
MAC004022,Std,2012-07-08 19:30:00.0000000,0.12034910427193386
MAC004022,Std,2012-07-08 20:00:00.0000000,0.07808911345888839
MAC004022,Std,2012-07-08 20:30:00.0000000,0.06293063849333946
MAC004022,Std,2012-07-08 21:00:00.0000000,0.05787781350482315
MAC004022,Std,2012-07-08 21:30:00.0000000,0.05787781350482315
MAC004022,Std,2012-07-08 22:00:00.0000000,0.1731740927882407
MAC004022,Std,2012-07-08 22:30:00.0000000,0.05558107487367937
MAC004022,Std,2012-07-08 23:00:00.0000000,0.039044556729444194
MAC004022,Std,2012-07-08 23:30:00.0000000,0.03536977491961415
MAC004022,Std,2012-07-09 00:00:00.0000000,0.017455213596692696
