datetime,id,stdorToU,Ppower
2012-07-08 09:00:00,MAC004015,Std,0.1963450997171738
2012-07-08 09:30:00,MAC004015,Std,0.218444548170189
2012-07-08 10:00:00,MAC004015,Std,0.0446238862993576
2012-07-08 10:30:00,MAC004015,Std,0.0446238862993576
2012-07-08 11:00:00,MAC004015,Std,0.0484487908393026
2012-07-08 11:30:00,MAC004015,Std,0.0488737802326298
2012-07-08 12:00:00,MAC004015,Std,0.0450488756926849
2012-07-08 12:30:00,MAC004015,Std,0.3098172677355404
2012-07-08 13:00:00,MAC004015,Std,0.356141111608207
2012-07-08 13:30:00,MAC004015,Std,0.3357416207285006
2012-07-08 14:00:00,MAC004015,Std,0.0654483665723912
2012-07-08 14:30:00,MAC004015,Std,0.1797705133774123
2012-07-08 15:00:00,MAC004015,Std,0.0497237590192842
2012-07-08 15:30:00,MAC004015,Std,0.0743731438322628
2012-07-08 16:00:00,MAC004015,Std,0.0790480271588621
2012-07-08 16:30:00,MAC004015,Std,0.1228219346715654
2012-07-08 17:00:00,MAC004015,Std,0.1746706406574857
2012-07-08 17:30:00,MAC004015,Std,0.3404165040551001
2012-07-08 18:00:00,MAC004015,Std,0.3013174798689961
2012-07-08 18:30:00,MAC004015,Std,0.375690623701259
2012-07-08 19:00:00,MAC004015,Std,0.2048448875837181
2012-07-08 19:30:00,MAC004015,Std,0.1716957149041953
2012-07-08 20:00:00,MAC004015,Std,0.1534211709911249
2012-07-08 20:30:00,MAC004015,Std,0.1134721680183667
2012-07-08 21:00:00,MAC004015,Std,0.07479813322559
2012-07-08 21:30:00,MAC004015,Std,0.0713982180789723
2012-07-08 22:00:00,MAC004015,Std,0.0994475180385685
2012-07-08 22:30:00,MAC004015,Std,0.1053973695451495
2012-07-08 23:00:00,MAC004015,Std,0.0896727619920425
2012-07-08 23:30:00,MAC004015,Std,0.0871228256320792
2012-07-09 00:00:00,MAC004015,Std,0.0743731438322628
2012-07-09 00:30:00,MAC004015,Std,0.0896727619920425
2012-07-09 01:00:00,MAC004015,Std,0.0973225710719324
2012-07-09 01:30:00,MAC004015,Std,0.1194220195249477
2012-07-09 02:00:00,MAC004015,Std,0.0467488332659937
2012-07-09 02:30:00,MAC004015,Std,0.027624310566269
2012-07-09 03:00:00,MAC004015,Std,0.0297492575329051
2012-07-09 03:30:00,MAC004015,Std,0.0310242257128867
2012-07-09 04:00:00,MAC004015,Std,0.0271993211729418
2012-07-09 04:30:00,MAC004015,Std,0.0305992363195595
2012-07-09 05:00:00,MAC004015,Std,0.0297492575329051
2012-07-09 05:30:00,MAC004015,Std,0.0356991090394861
2012-07-09 06:00:00,MAC004015,Std,0.0314492151062139
2012-07-09 06:30:00,MAC004015,Std,0.0288992787462506
2012-07-09 07:00:00,MAC004015,Std,0.0271993211729418
2012-07-09 07:30:00,MAC004015,Std,0.0318742044995412
2012-07-09 08:00:00,MAC004015,Std,0.0331491726795228
2012-07-09 08:30:00,MAC004015,Std,0.039524013579431
2012-07-09 09:00:00,MAC004015,Std,0.1257968604248559
2012-07-09 09:30:00,MAC004015,Std,0.0998725074318957
2012-07-09 10:00:00,MAC004015,Std,0.0837229104854615
2012-07-09 10:30:00,MAC004015,Std,0.0628984302124279
2012-07-09 11:00:00,MAC004015,Std,0.0611984726391191
2012-07-09 11:30:00,MAC004015,Std,0.0641733983924096
2012-07-09 12:00:00,MAC004015,Std,0.0467488332659937
2012-07-09 12:30:00,MAC004015,Std,0.1002974968252229
2012-07-09 13:00:00,MAC004015,Std,0.124096902851547
2012-07-09 13:30:00,MAC004015,Std,0.1138971574116939
2012-07-09 14:00:00,MAC004015,Std,0.0692732711123362
2012-07-09 14:30:00,MAC004015,Std,0.0514237165925931
2012-07-09 15:00:00,MAC004015,Std,0.0773480695855533
2012-07-09 15:30:00,MAC004015,Std,0.0522736953792475
2012-07-09 16:00:00,MAC004015,Std,0.0526986847725747
2012-07-09 16:30:00,MAC004015,Std,0.0726731862589539
2012-07-09 17:00:00,MAC004015,Std,0.1389715316179996
2012-07-09 17:30:00,MAC004015,Std,0.1257968604248559
2012-07-09 18:00:00,MAC004015,Std,0.4224394569672527
2012-07-09 18:30:00,MAC004015,Std,0.1993200254704643
2012-07-09 19:00:00,MAC004015,Std,0.1066723377251312
2012-07-09 19:30:00,MAC004015,Std,0.0556736105258653
2012-07-09 20:00:00,MAC004015,Std,0.1117722104450578
2012-07-09 20:30:00,MAC004015,Std,0.0769230801922261
2012-07-09 21:00:00,MAC004015,Std,0.0726731862589539
2012-07-09 21:30:00,MAC004015,Std,0.0777730589788805
2012-07-09 22:00:00,MAC004015,Std,0.0713982180789723
2012-07-09 22:30:00,MAC004015,Std,0.0752231226189172
2012-07-09 23:00:00,MAC004015,Std,0.055248621132538
2012-07-09 23:30:00,MAC004015,Std,0.03357416207285
2012-07-10 00:00:00,MAC004015,Std,0.0314492151062139
2012-07-10 00:30:00,MAC004015,Std,0.0314492151062139
2012-07-10 01:00:00,MAC004015,Std,0.0352741196461589
2012-07-10 01:30:00,MAC004015,Std,0.0365490878261405
2012-07-10 02:00:00,MAC004015,Std,0.0327241832861956
2012-07-10 02:30:00,MAC004015,Std,0.0314492151062139
2012-07-10 03:00:00,MAC004015,Std,0.0318742044995412
2012-07-10 03:30:00,MAC004015,Std,0.0331491726795228
2012-07-10 04:00:00,MAC004015,Std,0.0365490878261405
2012-07-10 04:30:00,MAC004015,Std,0.0293242681395779
2012-07-10 05:00:00,MAC004015,Std,0.0271993211729418
2012-07-10 05:30:00,MAC004015,Std,0.0416489605460671
2012-07-10 06:00:00,MAC004015,Std,0.2511687314563847
2012-07-10 06:30:00,MAC004015,Std,0.2707182435494366
2012-07-10 07:00:00,MAC004015,Std,0.14959626645118
2012-07-10 07:30:00,MAC004015,Std,0.1300467543581281
2012-07-10 08:00:00,MAC004015,Std,0.1138971574116939
2012-07-10 08:30:00,MAC004015,Std,0.344241408595045
2012-07-10 09:00:00,MAC004015,Std,0.0824479423054799
2012-07-10 09:30:00,MAC004015,Std,0.2430939329831675
2012-07-10 10:00:00,MAC004015,Std,0.3144921510621398
2012-07-10 10:30:00,MAC004015,Std,0.0956226134986236
2012-07-10 11:00:00,MAC004015,Std,0.0645983877857368
