Timestep,Bus,P(kW),Q(kvar)
2012-07-07 06:00:00,bus_001,0.1224,0.0484
2012-07-07 06:00:00,bus_002,0.1089,0.0347
2012-07-07 06:00:00,bus_003,0.0795,0.0257
2012-07-07 06:00:00,bus_004,0.0633,0.0193
2012-07-07 06:00:00,bus_005,0.098,0.0284
2012-07-07 06:30:00,bus_001,0.0704,0.0321
2012-07-07 06:30:00,bus_002,0.21,0.0762
2012-07-07 06:30:00,bus_003,0.0258,0.0102
2012-07-07 06:30:00,bus_004,0.0353,0.014
2012-07-07 06:30:00,bus_005,0.0465,0.0153
2012-07-07 07:00:00,bus_001,0.0731,0.0441
2012-07-07 07:00:00,bus_002,0.0475,0.0173
2012-07-07 07:00:00,bus_003,0.0433,0.0171
2012-07-07 07:00:00,bus_004,0.0963,0.0381
2012-07-07 07:00:00,bus_005,0.1426,0.0468
2012-07-07 07:30:00,bus_001,-0.2768,0.0673
2012-07-07 07:30:00,bus_002,0.0738,0.0268
2012-07-07 07:30:00,bus_003,0.0396,0.0156
2012-07-07 07:30:00,bus_004,0.0759,0.03
2012-07-07 07:30:00,bus_005,0.0874,0.0287
2012-07-07 08:00:00,bus_001,-0.2925,0.0331
2012-07-07 08:00:00,bus_002,0.0653,0.0237
2012-07-07 08:00:00,bus_003,0.127,0.0502
2012-07-07 08:00:00,bus_004,0.0523,0.0207
2012-07-07 08:00:00,bus_005,0.0477,0.0157
2012-07-07 08:30:00,bus_001,-0.2063,0.0362
2012-07-07 08:30:00,bus_002,0.0454,0.0165
2012-07-07 08:30:00,bus_003,0.0663,0.0262
2012-07-07 08:30:00,bus_004,0.0698,0.0276
2012-07-07 08:30:00,bus_005,0.0248,0.0082
2012-07-07 09:00:00,bus_001,-0.2025,0.0447
2012-07-07 09:00:00,bus_002,0.0383,0.0139
2012-07-07 09:00:00,bus_003,0.0534,0.0211
2012-07-07 09:00:00,bus_004,0.0859,0.0339
2012-07-07 09:00:00,bus_005,0.0248,0.0082
2012-07-07 09:30:00,bus_001,-0.2451,0.0301
2012-07-07 09:30:00,bus_002,0.0639,0.0232
2012-07-07 09:30:00,bus_003,0.0322,0.0127
2012-07-07 09:30:00,bus_004,0.0981,0.0388
2012-07-07 09:30:00,bus_005,0.0508,0.0167
2012-07-07 10:00:00,bus_001,-0.305,0.0321
2012-07-07 10:00:00,bus_002,0.0639,0.0232
2012-07-07 10:00:00,bus_003,0.0423,0.0167
2012-07-07 10:00:00,bus_004,0.0523,0.0207
2012-07-07 10:00:00,bus_005,0.1463,0.0481
2012-07-07 10:30:00,bus_001,-0.5704,0.0437
2012-07-07 10:30:00,bus_002,0.0468,0.017
2012-07-07 10:30:00,bus_003,0.0184,0.0073
2012-07-07 10:30:00,bus_004,0.0405,0.016
2012-07-07 10:30:00,bus_005,0.4641,0.1523
2012-07-07 11:00:00,bus_001,-0.1512,0.0345
2012-07-07 11:00:00,bus_002,0.0092,0.0033
2012-07-07 11:00:00,bus_003,0.0414,0.0164
2012-07-07 11:00:00,bus_004,0.0541,0.0214
2012-07-07 11:00:00,bus_005,0.0465,0.0153
2012-07-07 11:30:00,bus_001,-0.1721,0.0283
2012-07-07 11:30:00,bus_002,0.0305,0.0111
2012-07-07 11:30:00,bus_003,0.0175,0.0069
2012-07-07 11:30:00,bus_004,0.041,0.0162
2012-07-07 11:30:00,bus_005,0.0831,0.0273
2012-07-07 12:00:00,bus_001,-0.3526,0.0434
2012-07-07 12:00:00,bus_002,0.1497,0.0543
2012-07-07 12:00:00,bus_003,0.0423,0.0167
2012-07-07 12:00:00,bus_004,0.109,0.0431
2012-07-07 12:00:00,bus_005,0.0515,0.0169
2012-07-07 12:30:00,bus_001,-0.29,0.0403
2012-07-07 12:30:00,bus_002,0.2136,0.0775
2012-07-07 12:30:00,bus_003,0.0157,0.0062
2012-07-07 12:30:00,bus_004,0.031,0.0122
2012-07-07 12:30:00,bus_005,0.0298,0.0098
2012-07-07 13:00:00,bus_001,-0.3149,0.0512
2012-07-07 13:00:00,bus_002,0.1263,0.0458
2012-07-07 13:00:00,bus_003,0.0414,0.0164
2012-07-07 13:00:00,bus_004,0.0981,0.0387
2012-07-07 13:00:00,bus_005,0.049,0.0161
2012-07-07 13:30:00,bus_001,-0.3882,0.0577
2012-07-07 13:30:00,bus_002,0.2569,0.0932
2012-07-07 13:30:00,bus_003,0.0166,0.0065
2012-07-07 13:30:00,bus_004,0.0719,0.0284
2012-07-07 13:30:00,bus_005,0.0428,0.0141
2012-07-07 14:00:00,bus_001,-0.3464,0.0628
2012-07-07 14:00:00,bus_002,0.154,0.0559
2012-07-07 14:00:00,bus_003,0.0433,0.0171
2012-07-07 14:00:00,bus_004,0.0684,0.027
2012-07-07 14:00:00,bus_005,0.0806,0.0265
2012-07-07 14:30:00,bus_001,-0.4658,0.0587
2012-07-07 14:30:00,bus_002,0.21,0.0762
2012-07-07 14:30:00,bus_003,0.0166,0.0065
2012-07-07 14:30:00,bus_004,0.1151,0.0454
2012-07-07 14:30:00,bus_005,0.124,0.0407
2012-07-07 15:00:00,bus_001,-0.3363,0.0482
2012-07-07 15:00:00,bus_002,0.1391,0.0505
2012-07-07 15:00:00,bus_003,0.0433,0.0171
2012-07-07 15:00:00,bus_004,0.0615,0.0243
2012-07-07 15:00:00,bus_005,0.0924,0.0304
2012-07-07 15:30:00,bus_001,-0.2748,0.0646
2012-07-07 15:30:00,bus_002,0.1256,0.0456
2012-07-07 15:30:00,bus_003,0.0156,0.0062
2012-07-07 15:30:00,bus_004,0.0597,0.0236
2012-07-07 15:30:00,bus_005,0.0738,0.0242
2012-07-07 16:00:00,bus_001,-0.4207,0.055
2012-07-07 16:00:00,bus_002,0.1965,0.0713
2012-07-07 16:00:00,bus_003,0.0423,0.0167
2012-07-07 16:00:00,bus_004,0.0924,0.0365
2012-07-07 16:00:00,bus_005,0.0893,0.0293
2012-07-07 16:30:00,bus_001,-0.4047,0.0577
2012-07-07 16:30:00,bus_002,0.1831,0.0664
2012-07-07 16:30:00,bus_003,0.0175,0.0069
2012-07-07 16:30:00,bus_004,0.1042,0.0412
2012-07-07 16:30:00,bus_005,0.0998,0.0328
2012-07-07 17:00:00,bus_001,-0.429,0.0775
2012-07-07 17:00:00,bus_002,0.2207,0.0801
2012-07-07 17:00:00,bus_003,0.0405,0.016
2012-07-07 17:00:00,bus_004,0.0772,0.0305
2012-07-07 17:00:00,bus_005,0.0905,0.0297
2012-07-07 17:30:00,bus_001,-0.4537,0.0611
2012-07-07 17:30:00,bus_002,0.2624,0.094
2012-07-07 17:30:00,bus_003,0.0291,0.0101
2012-07-07 17:30:00,bus_004,0.0833,0.0315
2012-07-07 17:30:00,bus_005,0.0789,0.025
2012-07-07 18:00:00,bus_001,-0.6924,0.0635
2012-07-07 18:00:00,bus_002,0.2543,0.0778
2012-07-07 18:00:00,bus_003,0.1171,0.0291
2012-07-07 18:00:00,bus_004,0.1581,0.0453
2012-07-07 18:00:00,bus_005,0.1627,0.0419
2012-07-07 18:30:00,bus_001,-0.964,0.0601
2012-07-07 18:30:00,bus_002,0.3599,0.1161
2012-07-07 18:30:00,bus_003,0.1143,0.028
2012-07-07 18:30:00,bus_004,0.2212,0.0702
2012-07-07 18:30:00,bus_005,0.268,0.0764
2012-07-07 19:00:00,bus_001,-0.6954,0.0509
2012-07-07 19:00:00,bus_002,0.2784,0.0865
2012-07-07 19:00:00,bus_003,0.1125,0.0273
2012-07-07 19:00:00,bus_004,0.1485,0.0415
2012-07-07 19:00:00,bus_005,0.1559,0.0396
2012-07-07 19:30:00,bus_001,-0.7228,0.0553
2012-07-07 19:30:00,bus_002,0.2975,0.0935
2012-07-07 19:30:00,bus_003,0.1189,0.0298
2012-07-07 19:30:00,bus_004,0.162,0.0468
2012-07-07 19:30:00,bus_005,0.1441,0.0358
2012-07-07 20:00:00,bus_001,-0.7453,0.0597
2012-07-07 20:00:00,bus_002,0.2876,0.0899
2012-07-07 20:00:00,bus_003,0.1254,0.0324
2012-07-07 20:00:00,bus_004,0.1855,0.0561
2012-07-07 20:00:00,bus_005,0.1466,0.0366
2012-07-07 20:30:00,bus_001,-0.771,0.0515
2012-07-07 20:30:00,bus_002,0.2734,0.0847
2012-07-07 20:30:00,bus_003,0.1143,0.028
2012-07-07 20:30:00,bus_004,0.2439,0.0792
2012-07-07 20:30:00,bus_005,0.1391,0.0341
2012-07-07 21:00:00,bus_001,-0.787,0.0536
2012-07-07 21:00:00,bus_002,0.3103,0.0981
2012-07-07 21:00:00,bus_003,0.1346,0.036
2012-07-07 21:00:00,bus_004,0.1903,0.058
2012-07-07 21:00:00,bus_005,0.1515,0.0382
2012-07-07 21:30:00,bus_001,-0.7859,0.0597
2012-07-07 21:30:00,bus_002,0.333,0.1063
2012-07-07 21:30:00,bus_003,0.1079,0.0254
2012-07-07 21:30:00,bus_004,0.1877,0.057
2012-07-07 21:30:00,bus_005,0.1571,0.04
2012-07-07 22:00:00,bus_001,-0.7293,0.0519
2012-07-07 22:00:00,bus_002,0.3138,0.0994
2012-07-07 22:00:00,bus_003,0.1429,0.0393
2012-07-07 22:00:00,bus_004,0.1406,0.0384
2012-07-07 22:00:00,bus_005,0.1317,0.0317
2012-07-07 22:30:00,bus_001,-0.5198,0.0539
2012-07-07 22:30:00,bus_002,0.1791,0.0505
2012-07-07 22:30:00,bus_003,0.1088,0.0258
2012-07-07 22:30:00,bus_004,0.1223,0.0312
2012-07-07 22:30:00,bus_005,0.1094,0.0244
2012-07-07 23:00:00,bus_001,-0.5952,0.0604
2012-07-07 23:00:00,bus_002,0.2003,0.0582
2012-07-07 23:00:00,bus_003,0.1438,0.0396
2012-07-07 23:00:00,bus_004,0.121,0.0306
2012-07-07 23:00:00,bus_005,0.1298,0.0311
2012-07-07 23:30:00,bus_001,-0.5694,0.0539
2012-07-07 23:30:00,bus_002,0.1975,0.0572
2012-07-07 23:30:00,bus_003,0.1153,0.0284
2012-07-07 23:30:00,bus_004,0.121,0.0306
2012-07-07 23:30:00,bus_005,0.1354,0.0329
2012-07-08 00:00:00,bus_001,-0.573,0.0526
2012-07-08 00:00:00,bus_002,0.1819,0.0515
2012-07-08 00:00:00,bus_003,0.1374,0.0371
2012-07-08 00:00:00,bus_004,0.1206,0.0305
2012-07-08 00:00:00,bus_005,0.133,0.0321
2012-07-08 00:30:00,bus_001,-0.5327,0.0601
2012-07-08 00:30:00,bus_002,0.1748,0.049
2012-07-08 00:30:00,bus_003,0.1171,0.0291
2012-07-08 00:30:00,bus_004,0.1071,0.0251
2012-07-08 00:30:00,bus_005,0.1336,0.0323
2012-07-08 01:00:00,bus_001,-0.5588,0.069
2012-07-08 01:00:00,bus_002,0.1783,0.0503
2012-07-08 01:00:00,bus_003,0.1245,0.032
2012-07-08 01:00:00,bus_004,0.121,0.0306
2012-07-08 01:00:00,bus_005,0.1348,0.0327
2012-07-08 01:30:00,bus_001,-0.5228,0.0645
2012-07-08 01:30:00,bus_002,0.1698,0.0472
2012-07-08 01:30:00,bus_003,0.1171,0.0291
2012-07-08 01:30:00,bus_004,0.1071,0.0251
2012-07-08 01:30:00,bus_005,0.1286,0.0307
2012-07-08 02:00:00,bus_001,-0.4953,0.0659
2012-07-08 02:00:00,bus_002,0.1443,0.0379
2012-07-08 02:00:00,bus_003,0.1208,0.0306
2012-07-08 02:00:00,bus_004,0.1206,0.0305
2012-07-08 02:00:00,bus_005,0.1094,0.0244
2012-07-08 02:30:00,bus_001,-0.4436,0.0621
2012-07-08 02:30:00,bus_002,0.1109,0.0258
2012-07-08 02:30:00,bus_003,0.119,0.0298
2012-07-08 02:30:00,bus_004,0.1023,0.0232
2012-07-08 02:30:00,bus_005,0.1113,0.025
2012-07-08 03:00:00,bus_001,-0.4872,0.0587
2012-07-08 03:00:00,bus_002,0.1258,0.0312
2012-07-08 03:00:00,bus_003,0.1143,0.028
2012-07-08 03:00:00,bus_004,0.1114,0.0269
2012-07-08 03:00:00,bus_005,0.1354,0.0329
2012-07-08 03:30:00,bus_001,-0.4812,0.0638
2012-07-08 03:30:00,bus_002,0.1329,0.0338
2012-07-08 03:30:00,bus_003,0.1162,0.0287
2012-07-08 03:30:00,bus_004,0.1045,0.0241
2012-07-08 03:30:00,bus_005,0.1274,0.0303
2012-07-08 04:00:00,bus_001,-0.4598,0.0625
2012-07-08 04:00:00,bus_002,0.1301,0.0327
2012-07-08 04:00:00,bus_003,0.1134,0.0276
2012-07-08 04:00:00,bus_004,0.1066,0.025
2012-07-08 04:00:00,bus_005,0.1094,0.0244
2012-07-08 04:30:00,bus_001,-0.431,0.0587
2012-07-08 04:30:00,bus_002,0.1003,0.0219
2012-07-08 04:30:00,bus_003,0.1134,0.0276
2012-07-08 04:30:00,bus_004,0.1071,0.0251
2012-07-08 04:30:00,bus_005,0.11,0.0246
2012-07-08 05:00:00,bus_001,-0.4495,0.0628
2012-07-08 05:00:00,bus_002,0.1053,0.0237
2012-07-08 05:00:00,bus_003,0.1171,0.0291
2012-07-08 05:00:00,bus_004,0.091,0.0188
2012-07-08 05:00:00,bus_005,0.1361,0.0331
2012-07-08 05:30:00,bus_001,-0.4501,0.0588
2012-07-08 05:30:00,bus_002,0.1148,0.0308
2012-07-08 05:30:00,bus_003,0.1053,0.0287
2012-07-08 05:30:00,bus_004,0.1048,0.0285
2012-07-08 05:30:00,bus_005,0.125,0.0324
2012-07-08 06:00:00,bus_001,-0.331,0.047
2012-07-08 06:00:00,bus_002,0.1046,0.0331
2012-07-08 06:00:00,bus_003,0.0823,0.0268
2012-07-08 06:00:00,bus_004,0.072,0.0227
2012-07-08 06:00:00,bus_005,0.072,0.0198
