Timestep,Bus,P(kW),Q(kvar)
2012-07-07 07:00:00,bus_009,0.0,0.0
2012-07-07 07:00:00,bus_010,0.0,0.0
2012-07-07 07:00:00,bus_011,0.1182,-0.0
2012-07-07 07:00:00,bus_012,0.0,0.0
2012-07-07 07:00:00,bus_013,0.0,0.0
2012-07-07 07:00:00,bus_014,0.0,0.0
2012-07-07 07:00:00,busload_001,0.3801,0.1479
2012-07-07 07:00:00,busload_002,0.1733,0.0768
2012-07-07 07:00:00,busload_003,0.1093,0.0466
2012-07-07 07:00:00,busload_004,0.1834,0.0721
2012-07-07 07:00:00,busload_005,0.191,0.0718
2012-07-07 07:00:00,busload_006,0.0963,0.0361
2012-07-07 07:00:00,busload_007,0.0212,0.0093
2012-07-07 07:00:00,busload_008,0.0249,0.0124
2012-07-07 07:00:00,busload_009,0.1666,0.0566
2012-07-07 07:00:00,busload_010,0.164,0.0557
2012-07-07 07:00:00,busload_011,0.0141,0.0058
2012-07-07 07:00:00,busload_012,0.0757,0.0196
2012-07-07 07:00:00,busload_013,0.0419,0.0126
2012-07-07 07:00:00,busload_014,0.0193,0.0079
2012-07-07 07:00:00,busload_015,0.0781,0.0368
2012-07-07 07:00:00,busload_016,0.0178,0.0089
2012-07-07 07:00:00,busload_017,0.0996,0.0468
2012-07-07 07:00:00,busload_018,0.0601,0.0246
2012-07-07 07:00:00,busload_019,0.0612,0.025
2012-07-07 07:00:00,busload_020,0.0519,0.026
2012-07-07 07:00:00,busload_021,0.0388,0.0117
2012-07-07 07:00:00,busload_022,0.032,0.0096
2012-07-07 07:00:00,busload_023,0.0458,0.0187
2012-07-07 07:00:00,busload_024,0.0271,0.0111
2012-07-07 07:00:00,busload_025,0.1074,0.0439
2012-07-07 07:00:00,busload_026,0.0123,0.0054
2012-07-07 07:00:00,busload_027,0.0618,0.0252
2012-07-07 07:00:00,busload_028,0.1714,0.0517
2012-07-07 07:00:00,busload_029,0.0439,0.0179
2012-07-07 07:00:00,busload_030,0.0417,0.0126
2012-07-07 07:00:00,busload_031,0.0616,0.0219
2012-07-07 07:30:00,vsource,0,0
2012-07-07 07:30:00,bus_001,0.0,0.0
2012-07-07 07:30:00,bus_002,0.0,0.0
2012-07-07 07:30:00,bus_003,0.5082,-0.0
2012-07-07 07:30:00,bus_004,0.0,0.0
2012-07-07 07:30:00,bus_005,0.0,0.0
2012-07-07 07:30:00,bus_006,0.0,0.0
2012-07-07 07:30:00,bus_007,0.5082,-0.0
2012-07-07 07:30:00,bus_008,0.0,0.0
2012-07-07 07:30:00,bus_009,0.0,0.0
2012-07-07 07:30:00,bus_010,0.0,0.0
2012-07-07 07:30:00,bus_011,0.5082,-0.0
2012-07-07 07:30:00,bus_012,0.0,0.0
2012-07-07 07:30:00,bus_013,0.0,0.0
2012-07-07 07:30:00,bus_014,0.0,0.0
2012-07-07 07:30:00,busload_001,0.3379,0.1373
2012-07-07 07:30:00,busload_002,0.2762,0.1226
2012-07-07 07:30:00,busload_003,0.1124,0.0481
2012-07-07 07:30:00,busload_004,0.0993,0.0398
2012-07-07 07:30:00,busload_005,0.1979,0.0844
2012-07-07 07:30:00,busload_006,0.1142,0.0428
2012-07-07 07:30:00,busload_007,0.0314,0.0138
2012-07-07 07:30:00,busload_008,0.033,0.0165
2012-07-07 07:30:00,busload_009,0.1267,0.043
2012-07-07 07:30:00,busload_010,0.2427,0.0824
2012-07-07 07:30:00,busload_011,0.1004,0.041
2012-07-07 07:30:00,busload_012,0.0651,0.0169
2012-07-07 07:30:00,busload_013,0.0393,0.0118
2012-07-07 07:30:00,busload_014,0.029,0.0118
2012-07-07 07:30:00,busload_015,0.1302,0.0613
2012-07-07 07:30:00,busload_016,0.1456,0.0728
2012-07-07 07:30:00,busload_017,0.1095,0.0515
2012-07-07 07:30:00,busload_018,0.1024,0.0418
2012-07-07 07:30:00,busload_019,0.0723,0.0295
2012-07-07 07:30:00,busload_020,0.095,0.0476
2012-07-07 07:30:00,busload_021,0.0411,0.0124
2012-07-07 07:30:00,busload_022,0.0314,0.0094
2012-07-07 07:30:00,busload_023,0.0624,0.0254
2012-07-07 07:30:00,busload_024,0.0527,0.0215
2012-07-07 07:30:00,busload_025,0.0958,0.0392
2012-07-07 07:30:00,busload_026,0.0366,0.0161
2012-07-07 07:30:00,busload_027,0.1064,0.0435
2012-07-07 07:30:00,busload_028,0.0275,0.0083
2012-07-07 07:30:00,busload_029,0.3197,0.1303
2012-07-07 07:30:00,busload_030,0.0278,0.0084
2012-07-07 07:30:00,busload_031,0.0525,0.018
2012-07-07 08:00:00,vsource,0,0
2012-07-07 08:00:00,bus_001,0.0,0.0
2012-07-07 08:00:00,bus_002,0.0,0.0
2012-07-07 08:00:00,bus_003,1.0938,-0.0
2012-07-07 08:00:00,bus_004,0.0,0.0
2012-07-07 08:00:00,bus_005,0.0,0.0
2012-07-07 08:00:00,bus_006,0.0,0.0
2012-07-07 08:00:00,bus_007,1.0938,-0.0
2012-07-07 08:00:00,bus_008,0.0,0.0
2012-07-07 08:00:00,bus_009,0.0,0.0
2012-07-07 08:00:00,bus_010,0.0,0.0
2012-07-07 08:00:00,bus_011,1.0938,-0.0
2012-07-07 08:00:00,bus_012,0.0,0.0
2012-07-07 08:00:00,bus_013,0.0,0.0
2012-07-07 08:00:00,bus_014,0.0,0.0
2012-07-07 08:00:00,busload_001,0.3579,0.1373
2012-07-07 08:00:00,busload_002,0.2198,0.097
2012-07-07 08:00:00,busload_003,0.2068,0.0869
