Timestep,Bus,P(kW),Q(kvar)
2012-07-07 17:00:00,bus_005,0.0905,0.0264
2012-07-07 17:30:00,bus_001,0.1312,0.0635
2012-07-07 17:30:00,bus_002,0.2554,0.1009
2012-07-07 17:30:00,bus_003,0.0257,0.0073
2012-07-07 17:30:00,bus_004,0.0763,0.0277
2012-07-07 17:30:00,bus_005,0.0719,0.021
2012-07-07 18:00:00,bus_001,0.1042,0.0505
2012-07-07 18:00:00,bus_002,0.1703,0.0673
2012-07-07 18:00:00,bus_003,0.0331,0.0109
2012-07-07 18:00:00,bus_004,0.0741,0.0269
2012-07-07 18:00:00,bus_005,0.0788,0.023
2012-07-07 18:30:00,bus_001,0.0967,0.0468
2012-07-07 18:30:00,bus_002,0.276,0.109
2012-07-07 18:30:00,bus_003,0.0304,0.01
2012-07-07 18:30:00,bus_004,0.1373,0.0498
2012-07-07 18:30:00,bus_005,0.1841,0.0537
2012-07-07 19:00:00,bus_001,0.0765,0.037
2012-07-07 19:00:00,bus_002,0.1944,0.0768
2012-07-07 19:00:00,bus_003,0.0285,0.0094
2012-07-07 19:00:00,bus_004,0.0645,0.0234
2012-07-07 19:00:00,bus_005,0.0719,0.021
2012-07-07 19:30:00,bus_001,0.0862,0.0418
2012-07-07 19:30:00,bus_002,0.2136,0.0844
2012-07-07 19:30:00,bus_003,0.035,0.0115
2012-07-07 19:30:00,bus_004,0.078,0.0283
2012-07-07 19:30:00,bus_005,0.0602,0.0175
2012-07-07 20:00:00,bus_001,0.096,0.0465
2012-07-07 20:00:00,bus_002,0.2037,0.0805
2012-07-07 20:00:00,bus_003,0.0414,0.0136
2012-07-07 20:00:00,bus_004,0.1016,0.0369
2012-07-07 20:00:00,bus_005,0.0626,0.0183
2012-07-07 20:30:00,bus_001,0.078,0.0378
2012-07-07 20:30:00,bus_002,0.1895,0.0749
2012-07-07 20:30:00,bus_003,0.0304,0.01
2012-07-07 20:30:00,bus_004,0.16,0.058
2012-07-07 20:30:00,bus_005,0.0552,0.0161
2012-07-07 21:00:00,bus_001,0.0825,0.0399
2012-07-07 21:00:00,bus_002,0.2264,0.0894
2012-07-07 21:00:00,bus_003,0.0506,0.0166
2012-07-07 21:00:00,bus_004,0.1064,0.0386
2012-07-07 21:00:00,bus_005,0.0676,0.0197
2012-07-07 21:30:00,bus_001,0.096,0.0465
2012-07-07 21:30:00,bus_002,0.2491,0.0984
2012-07-07 21:30:00,bus_003,0.0239,0.0079
2012-07-07 21:30:00,bus_004,0.1038,0.0376
2012-07-07 21:30:00,bus_005,0.0732,0.0213
2012-07-07 22:00:00,bus_001,0.0787,0.0381
2012-07-07 22:00:00,bus_002,0.2299,0.0908
2012-07-07 22:00:00,bus_003,0.0589,0.0194
2012-07-07 22:00:00,bus_004,0.0567,0.0206
2012-07-07 22:00:00,bus_005,0.0478,0.0139
2012-07-07 22:30:00,bus_001,0.0832,0.0403
2012-07-07 22:30:00,bus_002,0.0951,0.0376
2012-07-07 22:30:00,bus_003,0.0249,0.0082
2012-07-07 22:30:00,bus_004,0.0384,0.0139
2012-07-07 22:30:00,bus_005,0.0254,0.0074
2012-07-07 23:00:00,bus_001,0.0975,0.0472
2012-07-07 23:00:00,bus_002,0.1164,0.046
2012-07-07 23:00:00,bus_003,0.0598,0.0197
2012-07-07 23:00:00,bus_004,0.0371,0.0135
2012-07-07 23:00:00,bus_005,0.0459,0.0134
2012-07-07 23:30:00,bus_001,0.0832,0.0403
2012-07-07 23:30:00,bus_002,0.1135,0.0449
2012-07-07 23:30:00,bus_003,0.0313,0.0103
2012-07-07 23:30:00,bus_004,0.0371,0.0135
2012-07-07 23:30:00,bus_005,0.0515,0.015
2012-07-08 00:00:00,bus_001,0.0802,0.0388
2012-07-08 00:00:00,bus_002,0.0979,0.0387
2012-07-08 00:00:00,bus_003,0.0534,0.0176
2012-07-08 00:00:00,bus_004,0.0366,0.0133
2012-07-08 00:00:00,bus_005,0.049,0.0143
2012-07-08 00:30:00,bus_001,0.0967,0.0468
2012-07-08 00:30:00,bus_002,0.0908,0.0359
2012-07-08 00:30:00,bus_003,0.0331,0.0109
2012-07-08 00:30:00,bus_004,0.0231,0.0084
2012-07-08 00:30:00,bus_005,0.0496,0.0145
2012-07-08 01:00:00,bus_001,0.1162,0.0563
2012-07-08 01:00:00,bus_002,0.0944,0.0373
2012-07-08 01:00:00,bus_003,0.0405,0.0133
2012-07-08 01:00:00,bus_004,0.0371,0.0135
2012-07-08 01:00:00,bus_005,0.0509,0.0148
2012-07-08 01:30:00,bus_001,0.1064,0.0516
2012-07-08 01:30:00,bus_002,0.0859,0.0339
2012-07-08 01:30:00,bus_003,0.0331,0.0109
2012-07-08 01:30:00,bus_004,0.0231,0.0084
2012-07-08 01:30:00,bus_005,0.0447,0.013
2012-07-08 02:00:00,bus_001,0.1094,0.053
2012-07-08 02:00:00,bus_002,0.0603,0.0238
2012-07-08 02:00:00,bus_003,0.0368,0.0121
2012-07-08 02:00:00,bus_004,0.0366,0.0133
2012-07-08 02:00:00,bus_005,0.0254,0.0074
2012-07-08 02:30:00,bus_001,0.1012,0.049
2012-07-08 02:30:00,bus_002,0.027,0.0107
2012-07-08 02:30:00,bus_003,0.035,0.0115
2012-07-08 02:30:00,bus_004,0.0183,0.0066
2012-07-08 02:30:00,bus_005,0.0273,0.008
2012-07-08 03:00:00,bus_001,0.0937,0.0454
2012-07-08 03:00:00,bus_002,0.0419,0.0165
2012-07-08 03:00:00,bus_003,0.0304,0.01
2012-07-08 03:00:00,bus_004,0.0275,0.01
2012-07-08 03:00:00,bus_005,0.0515,0.015
2012-07-08 03:30:00,bus_001,0.1049,0.0508
2012-07-08 03:30:00,bus_002,0.049,0.0194
2012-07-08 03:30:00,bus_003,0.0322,0.0106
2012-07-08 03:30:00,bus_004,0.0205,0.0074
2012-07-08 03:30:00,bus_005,0.0434,0.0127
2012-07-08 04:00:00,bus_001,0.1019,0.0494
2012-07-08 04:00:00,bus_002,0.0461,0.0182
2012-07-08 04:00:00,bus_003,0.0295,0.0097
2012-07-08 04:00:00,bus_004,0.0227,0.0082
2012-07-08 04:00:00,bus_005,0.0254,0.0074
2012-07-08 04:30:00,bus_001,0.0937,0.0454
2012-07-08 04:30:00,bus_002,0.0163,0.0065
2012-07-08 04:30:00,bus_003,0.0295,0.0097
2012-07-08 04:30:00,bus_004,0.0231,0.0084
