Timestep,Bus,Voltage (p.u.)
2012-07-07 09:00:00,busload_017,1.0352
2012-07-07 09:00:00,busload_018,1.0352
2012-07-07 09:00:00,busload_019,1.0352
2012-07-07 09:00:00,busload_020,1.0352
2012-07-07 09:00:00,busload_021,1.0348
2012-07-07 09:00:00,busload_022,1.0346
2012-07-07 09:00:00,busload_023,1.0358
2012-07-07 09:00:00,busload_024,1.0362
2012-07-07 09:00:00,busload_025,1.0346
2012-07-07 09:00:00,busload_026,1.0356
2012-07-07 09:00:00,busload_027,1.0352
2012-07-07 09:00:00,busload_028,1.0351
2012-07-07 09:00:00,busload_029,1.0358
2012-07-07 09:00:00,busload_030,1.0351
2012-07-07 09:00:00,busload_031,1.0356
2012-07-07 09:30:00,vsource,1.035
2012-07-07 09:30:00,bus_001,1.0348
2012-07-07 09:30:00,bus_002,1.035
2012-07-07 09:30:00,bus_003,1.0352
2012-07-07 09:30:00,bus_004,1.0352
2012-07-07 09:30:00,bus_005,1.034
2012-07-07 09:30:00,bus_006,1.0336
2012-07-07 09:30:00,bus_007,1.0363
2012-07-07 09:30:00,bus_008,1.0365
2012-07-07 09:30:00,bus_009,1.0351
2012-07-07 09:30:00,bus_010,1.0356
2012-07-07 09:30:00,bus_011,1.0367
2012-07-07 09:30:00,bus_012,1.0364
2012-07-07 09:30:00,bus_013,1.033
2012-07-07 09:30:00,bus_014,1.036
2012-07-07 09:30:00,busload_001,1.0358
2012-07-07 09:30:00,busload_002,1.0364
2012-07-07 09:30:00,busload_003,1.0355
2012-07-07 09:30:00,busload_004,1.0366
2012-07-07 09:30:00,busload_005,1.0364
2012-07-07 09:30:00,busload_006,1.0363
2012-07-07 09:30:00,busload_007,1.0363
2012-07-07 09:30:00,busload_008,1.0355
2012-07-07 09:30:00,busload_009,1.0356
2012-07-07 09:30:00,busload_010,1.035
2012-07-07 09:30:00,busload_011,1.0335
2012-07-07 09:30:00,busload_012,1.0335
2012-07-07 09:30:00,busload_013,1.0335
2012-07-07 09:30:00,busload_014,1.0329
2012-07-07 09:30:00,busload_015,1.033
2012-07-07 09:30:00,busload_016,1.0329
2012-07-07 09:30:00,busload_017,1.035
2012-07-07 09:30:00,busload_018,1.0352
2012-07-07 09:30:00,busload_019,1.0352
2012-07-07 09:30:00,busload_020,1.0352
2012-07-07 09:30:00,busload_021,1.0347
2012-07-07 09:30:00,busload_022,1.0336
2012-07-07 09:30:00,busload_023,1.036
2012-07-07 09:30:00,busload_024,1.0364
2012-07-07 09:30:00,busload_025,1.0347
2012-07-07 09:30:00,busload_026,1.0356
2012-07-07 09:30:00,busload_027,1.0352
2012-07-07 09:30:00,busload_028,1.0352
2012-07-07 09:30:00,busload_029,1.0359
2012-07-07 09:30:00,busload_030,1.0351
2012-07-07 09:30:00,busload_031,1.0355
2012-07-07 10:00:00,vsource,1.035
2012-07-07 10:00:00,bus_001,1.0351
2012-07-07 10:00:00,bus_002,1.0357
2012-07-07 10:00:00,bus_003,1.0356
2012-07-07 10:00:00,bus_004,1.0356
2012-07-07 10:00:00,bus_005,1.0357
2012-07-07 10:00:00,bus_006,1.0356
2012-07-07 10:00:00,bus_007,1.0377
2012-07-07 10:00:00,bus_008,1.0379
2012-07-07 10:00:00,bus_009,1.0362
2012-07-07 10:00:00,bus_010,1.0368
2012-07-07 10:00:00,bus_011,1.0382
2012-07-07 10:00:00,bus_012,1.0379
2012-07-07 10:00:00,bus_013,1.0353
2012-07-07 10:00:00,bus_014,1.0376
2012-07-07 10:00:00,busload_001,1.0375
2012-07-07 10:00:00,busload_002,1.0379
2012-07-07 10:00:00,busload_003,1.0367
2012-07-07 10:00:00,busload_004,1.0381
2012-07-07 10:00:00,busload_005,1.0378
2012-07-07 10:00:00,busload_006,1.0377
2012-07-07 10:00:00,busload_007,1.0377
2012-07-07 10:00:00,busload_008,1.0368
2012-07-07 10:00:00,busload_009,1.0367
2012-07-07 10:00:00,busload_010,1.0362
2012-07-07 10:00:00,busload_011,1.0355
2012-07-07 10:00:00,busload_012,1.0355
2012-07-07 10:00:00,busload_013,1.0355
2012-07-07 10:00:00,busload_014,1.0353
2012-07-07 10:00:00,busload_015,1.0353
2012-07-07 10:00:00,busload_016,1.0353
2012-07-07 10:00:00,busload_017,1.0362
2012-07-07 10:00:00,busload_018,1.0356
2012-07-07 10:00:00,busload_019,1.0356
2012-07-07 10:00:00,busload_020,1.0356
2012-07-07 10:00:00,busload_021,1.035
2012-07-07 10:00:00,busload_022,1.0355
2012-07-07 10:00:00,busload_023,1.0376
2012-07-07 10:00:00,busload_024,1.0378
2012-07-07 10:00:00,busload_025,1.0349
2012-07-07 10:00:00,busload_026,1.0368
2012-07-07 10:00:00,busload_027,1.0356
2012-07-07 10:00:00,busload_028,1.0356
2012-07-07 10:00:00,busload_029,1.0375
2012-07-07 10:00:00,busload_030,1.0355
2012-07-07 10:00:00,busload_031,1.0368
2012-07-07 10:30:00,vsource,1.035
2012-07-07 10:30:00,bus_001,1.0349
2012-07-07 10:30:00,bus_002,1.0354
2012-07-07 10:30:00,bus_003,1.0356
2012-07-07 10:30:00,bus_004,1.0355
2012-07-07 10:30:00,bus_005,1.0354
2012-07-07 10:30:00,bus_006,1.0352
2012-07-07 10:30:00,bus_007,1.0369
2012-07-07 10:30:00,bus_008,1.0369
2012-07-07 10:30:00,bus_009,1.0358
2012-07-07 10:30:00,bus_010,1.0362
2012-07-07 10:30:00,bus_011,1.037
2012-07-07 10:30:00,bus_012,1.0363
2012-07-07 10:30:00,bus_013,1.0351
2012-07-07 10:30:00,bus_014,1.036
2012-07-07 10:30:00,busload_001,1.0359
2012-07-07 10:30:00,busload_002,1.0362
2012-07-07 10:30:00,busload_003,1.0361
2012-07-07 10:30:00,busload_004,1.037
2012-07-07 10:30:00,busload_005,1.0362
2012-07-07 10:30:00,busload_006,1.0369
2012-07-07 10:30:00,busload_007,1.0369
2012-07-07 10:30:00,busload_008,1.0361
2012-07-07 10:30:00,busload_009,1.0362
2012-07-07 10:30:00,busload_010,1.0357
2012-07-07 10:30:00,busload_011,1.0352
2012-07-07 10:30:00,busload_012,1.0352
2012-07-07 10:30:00,busload_013,1.0352
2012-07-07 10:30:00,busload_014,1.0351
2012-07-07 10:30:00,busload_015,1.035
2012-07-07 10:30:00,busload_016,1.035
2012-07-07 10:30:00,busload_017,1.0357
2012-07-07 10:30:00,busload_018,1.0356
2012-07-07 10:30:00,busload_019,1.0355
2012-07-07 10:30:00,busload_020,1.0356
2012-07-07 10:30:00,busload_021,1.0349
2012-07-07 10:30:00,busload_022,1.0352
2012-07-07 10:30:00,busload_023,1.0359
2012-07-07 10:30:00,busload_024,1.0362
2012-07-07 10:30:00,busload_025,1.0349
2012-07-07 10:30:00,busload_026,1.0362
2012-07-07 10:30:00,busload_027,1.0355
2012-07-07 10:30:00,busload_028,1.0355
2012-07-07 10:30:00,busload_029,1.0359
2012-07-07 10:30:00,busload_030,1.0355
2012-07-07 10:30:00,busload_031,1.0361
2012-07-07 11:00:00,vsource,1.035
2012-07-07 11:00:00,bus_001,1.0352
2012-07-07 11:00:00,bus_002,1.0361
2012-07-07 11:00:00,bus_003,1.0358
2012-07-07 11:00:00,bus_004,1.0358
2012-07-07 11:00:00,bus_005,1.0364
2012-07-07 11:00:00,bus_006,1.0363
2012-07-07 11:00:00,bus_007,1.0385
2012-07-07 11:00:00,bus_008,1.0388
2012-07-07 11:00:00,bus_009,1.0367
2012-07-07 11:00:00,bus_010,1.0374
2012-07-07 11:00:00,bus_011,1.0391
2012-07-07 11:00:00,bus_012,1.0387
2012-07-07 11:00:00,bus_013,1.0362
2012-07-07 11:00:00,bus_014,1.0385
2012-07-07 11:00:00,busload_001,1.0384
2012-07-07 11:00:00,busload_002,1.0387
2012-07-07 11:00:00,busload_003,1.0374
2012-07-07 11:00:00,busload_004,1.039
2012-07-07 11:00:00,busload_005,1.0387
2012-07-07 11:00:00,busload_006,1.0384
2012-07-07 11:00:00,busload_007,1.0385
2012-07-07 11:00:00,busload_008,1.0374
2012-07-07 11:00:00,busload_009,1.0374
2012-07-07 11:00:00,busload_010,1.0367
2012-07-07 11:00:00,busload_011,1.0363
2012-07-07 11:00:00,busload_012,1.0363
2012-07-07 11:00:00,busload_013,1.0363
2012-07-07 11:00:00,busload_014,1.0362
2012-07-07 11:00:00,busload_015,1.0362
2012-07-07 11:00:00,busload_016,1.0361
2012-07-07 11:00:00,busload_017,1.0366
2012-07-07 11:00:00,busload_018,1.0358
2012-07-07 11:00:00,busload_019,1.0358
2012-07-07 11:00:00,busload_020,1.0358
2012-07-07 11:00:00,busload_021,1.0352
2012-07-07 11:00:00,busload_022,1.0363
2012-07-07 11:00:00,busload_023,1.0385
2012-07-07 11:00:00,busload_024,1.0386
2012-07-07 11:00:00,busload_025,1.0352
2012-07-07 11:00:00,busload_026,1.0374
2012-07-07 11:00:00,busload_027,1.0358
2012-07-07 11:00:00,busload_028,1.0358
2012-07-07 11:00:00,busload_029,1.0384
2012-07-07 11:00:00,busload_030,1.0357
2012-07-07 11:00:00,busload_031,1.0374
2012-07-07 11:30:00,vsource,1.035
2012-07-07 11:30:00,bus_001,1.0353
2012-07-07 11:30:00,bus_002,1.0362
2012-07-07 11:30:00,bus_003,1.0359
2012-07-07 11:30:00,bus_004,1.0359
2012-07-07 11:30:00,bus_005,1.0366
2012-07-07 11:30:00,bus_006,1.0365
2012-07-07 11:30:00,bus_007,1.0387
2012-07-07 11:30:00,bus_008,1.039
2012-07-07 11:30:00,bus_009,1.0369
2012-07-07 11:30:00,bus_010,1.0376
2012-07-07 11:30:00,bus_011,1.0394
2012-07-07 11:30:00,bus_012,1.0391
2012-07-07 11:30:00,bus_013,1.0363
2012-07-07 11:30:00,bus_014,1.0387
2012-07-07 11:30:00,busload_001,1.0386
2012-07-07 11:30:00,busload_002,1.039
2012-07-07 11:30:00,busload_003,1.0376
2012-07-07 11:30:00,busload_004,1.0393
2012-07-07 11:30:00,busload_005,1.039
2012-07-07 11:30:00,busload_006,1.0387
2012-07-07 11:30:00,busload_007,1.0386
2012-07-07 11:30:00,busload_008,1.0376
2012-07-07 11:30:00,busload_009,1.0376
2012-07-07 11:30:00,busload_010,1.0369
2012-07-07 11:30:00,busload_011,1.0364
2012-07-07 11:30:00,busload_012,1.0365
2012-07-07 11:30:00,busload_013,1.0365
2012-07-07 11:30:00,busload_014,1.0363
2012-07-07 11:30:00,busload_015,1.0363
2012-07-07 11:30:00,busload_016,1.0363
2012-07-07 11:30:00,busload_017,1.0368
2012-07-07 11:30:00,busload_018,1.0359
2012-07-07 11:30:00,busload_019,1.0359
2012-07-07 11:30:00,busload_020,1.0359
2012-07-07 11:30:00,busload_021,1.0352
2012-07-07 11:30:00,busload_022,1.0365
2012-07-07 11:30:00,busload_023,1.0387
2012-07-07 11:30:00,busload_024,1.039
2012-07-07 11:30:00,busload_025,1.0352
2012-07-07 11:30:00,busload_026,1.0376
2012-07-07 11:30:00,busload_027,1.0359
2012-07-07 11:30:00,busload_028,1.0359
2012-07-07 11:30:00,busload_029,1.0386
2012-07-07 11:30:00,busload_030,1.0358
2012-07-07 11:30:00,busload_031,1.0376
2012-07-07 12:00:00,vsource,1.035
2012-07-07 12:00:00,bus_001,1.0351
2012-07-07 12:00:00,bus_002,1.036
2012-07-07 12:00:00,bus_003,1.0357
2012-07-07 12:00:00,bus_004,1.0357
2012-07-07 12:00:00,bus_005,1.0361
2012-07-07 12:00:00,bus_006,1.0359
2012-07-07 12:00:00,bus_007,1.0383
2012-07-07 12:00:00,bus_008,1.0387
2012-07-07 12:00:00,bus_009,1.0365
2012-07-07 12:00:00,bus_010,1.0372
2012-07-07 12:00:00,bus_011,1.039
2012-07-07 12:00:00,bus_012,1.0387
2012-07-07 12:00:00,bus_013,1.0357
2012-07-07 12:00:00,bus_014,1.0384
